"","Year","Award","Nominee","Winner"
"74","2010","Music (Song)","127 Hours","NO"
"75","2010","Music (Song)","Toy Story 3","YES"
"76","2010","BEST PICTURE","Black Swan","NO"
"77","2010","BEST PICTURE","The Fighter","NO"
"78","2010","BEST PICTURE","Inception","NO"
"79","2010","BEST PICTURE","The Kids Are All Right","NO"
"801","2010","BEST PICTURE","The King's Speech","YES"
"8116","2010","BEST PICTURE","127 Hours","NO"
"824","2010","BEST PICTURE","The Social Network","NO"
"831","2010","BEST PICTURE","Toy Story 3","NO"
"841","2010","BEST PICTURE","True Grit","NO"
"8546","2010","BEST PICTURE","Winter's Bone","NO"
"96","2010","SOUND MIXING","Inception","YES"
"97","2010","SOUND MIXING","The King's Speech","NO"
"98","2010","SOUND MIXING","Salt","NO"
"99","2010","SOUND MIXING","The Social Network","NO"
"100","2010","SOUND MIXING","True Grit","NO"
"101","2010","SOUND EDITING","Inception","YES"
"102","2010","SOUND EDITING","Toy Story 3","NO"
"103","2010","SOUND EDITING","Tron: Legacy","NO"
"104","2010","SOUND EDITING","True Grit","NO"
"105","2010","SOUND EDITING","Unstoppable","NO"
"106","2010","VISUAL EFFECTS","Alice in Wonderland","NO"
"107","2010","VISUAL EFFECTS","Harry Potter and the Deathly Hallows Part 1","NO"
"1081","2010","VISUAL EFFECTS","Hereafter","NO"
"1091","2010","VISUAL EFFECTS","Inception","YES"
"11010","2010","VISUAL EFFECTS","Iron Man 2","NO"
"1113","2010","Writing","127 Hours","NO"
"1121","2010","Writing","The Social Network","YES"
"11310","2010","Writing","Toy Story 3","NO"
"1143","2010","Writing","True Grit","NO"
"1151","2010","Writing","Winter's Bone","NO"
"11610","2010","Writing","Another Year","NO"
